Título,Descrição,Preço,Local,Ano,KM Rodado
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 52.900,00","Belo Horizonte, MG",2019/2019,72.000 Km
Honda CR-V,CR-V 2.0 16V 4X4 EXL (aut) automático,"R$ 89.000,00","Vassouras, RJ",2012/2012,80.000 Km
BMW Série 3,320i ActiveFlex automático,"R$ 114.900,00","Sinop, MT",2015/2015,10 Km
Hyundai HB20,HB20 1.6 Comfort Plus (Aut) automático,"R$ 70.900,00","Taubaté, SP",2018/2019,56.000 Km
Chevrolet Tracker,Tracker 1.2 Turbo Premier (Aut) automático,"R$ 108.900,00","Belo Horizonte, MG",2020/2021,40.000 Km
Volkswagen Up!,Up! 1.0 12v E-Flex move up! 4p manual,"R$ 39.900,00","Paraíba do Sul, RJ",2014/2015,7.000 Km
Ford Fiesta Hatch,Fiesta Hatch SE 1.0 RoCam (Flex) manual,"R$ 31.990,00","Contagem, MG",2014/2014,98.081 Km
Chevrolet Celta,Celta Spirit 1.0 VHCE (Flex) 2p manual,"R$ 15.500,00","Curitiba, PR",2009/2009,240.000 Km
Chevrolet Classic,Corsa Sedan Classic Life 1.0 VHC manual,"R$ 16.000,00","São José, SC",2006/2006,180.000 Km
Chevrolet Astra Hatch,Astra Hatch GL 1.8 MPFi manual,"R$ 16.900,00","Araranguá, SC",2000/2000,233.000 Km
Chevrolet Classic,Corsa Sedan Classic Life 1.0 (Flex) manual,"R$ 17.900,00","Londrina, PR",2006/2007,300 Km
Chevrolet Celta,Celta 1.0 VHC 2p manual,"R$ 17.900,00","Joinville, SC",2003/2004,188.295 Km
Chevrolet Celta,Celta Spirit 1.0 VHCE (Flex) 2p manual,"R$ 18.900,00","Rio de Janeiro, RJ",2010/2010,N/D
Citroën C3,C3 GLX 1.4 8V (flex) manual,"R$ 18.900,00","Curitiba, PR",2006/2006,140.000 Km
Fiat Siena,Siena Fire 1.0 8V manual,"R$ 18.900,00","Curitiba, PR",2006/2006,260.000 Km
Volkswagen Fox,Fox City 1.0 8V (Flex) manual,"R$ 18.900,00","Cordeiro, RJ",2005/2005,243.000 Km
Fiat Uno Mille,Uno Mille Fire 1.0 (Flex) 4P manual,"R$ 18.987,00","Belo Horizonte, MG",2008/2008,153 Km
Volkswagen Gol,Gol City 1.0 (G4) (Flex) manual,"R$ 19.000,00","Orleans, SC",2007/2007,101 Km
Chevrolet Celta,Celta Life 1.0 VHCE (Flex) 2p manual,"R$ 19.900,00","Curitiba, PR",2008/2009,300 Km
Ford Ka,Ka Class 1.0 (Flex) manual,"R$ 19.900,00","Serra, ES",2009/2009,121.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 19.990,00","Rio de Janeiro, RJ",2012/2012,158.000 Km
Renault Clio,Clio Hatch. Campus 1.0 16V (flex) 2p manual,"R$ 19.990,00","Curitiba, PR",2010/2011,193.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 20.900,00","Rio de Janeiro, RJ",2012/2012,88.888 Km
Fiat Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 4p manual,"R$ 20.900,00","Colombo, PR",2008/2009,145.000 Km
Chevrolet Celta,Celta LS 1.0 (Flex) 2p manual,"R$ 21.099,00","Rio de Janeiro, RJ",2011/2012,118.861 Km
Chevrolet Classic,Classic Life 1.0 VHCE (Flex) manual,"R$ 21.700,00","Catanduva, SP",2009/2010,195.865 Km
