Marca,Carro,Descrição,Preço,Ano,KM Rodado,Transmissão,Cidade,Estado
Chevrolet,Onix,Onix 1.0 Joy SPE/4,52900,2019,72000,Manual,Belo Horizonte,MG
Honda,CR-V,CR-V 2.0 16V 4X4 EXL (aut),89000,2012,80000,Automático,Vassouras,RJ
BMW,Série 3,320i ActiveFlex,114900,2015,10,Automático,Sinop,MT
Hyundai,HB20,HB20 1.6 Comfort Plus (Aut),70900,2018,56000,Automático,Taubaté,SP
Chevrolet,Tracker,Tracker 1.2 Turbo Premier (Aut),108900,2020,40000,Automático,Belo Horizonte,MG
Volkswagen,Up!,Up! 1.0 12v E-Flex move up! 4p,39900,2014,7000,Manual,Paraíba do Sul,RJ
Ford,Fiesta Hatch,Fiesta Hatch SE 1.0 RoCam (Flex),31990,2014,98081,Manual,Contagem,MG
Chevrolet,Celta,Celta Spirit 1.0 VHCE (Flex) 2p,15500,2009,240000,Manual,Curitiba,PR
Chevrolet,Classic,Corsa Sedan Classic Life 1.0 VHC,16000,2006,180000,Manual,São José,SC
Chevrolet,Astra Hatch,Astra Hatch GL 1.8 MPFi,16900,2000,233000,Manual,Araranguá,SC
Chevrolet,Classic,Corsa Sedan Classic Life 1.0 (Flex),17900,2006,300,Manual,Londrina,PR
Chevrolet,Celta,Celta 1.0 VHC 2p,17900,2003,188295,Manual,Joinville,SC
Chevrolet,Celta,Celta Spirit 1.0 VHCE (Flex) 2p,18900,2010,0,Manual,Rio de Janeiro,RJ
Citroën,C3,C3 GLX 1.4 8V (flex),18900,2006,140000,Manual,Curitiba,PR
Fiat,Siena,Siena Fire 1.0 8V,18900,2006,260000,Manual,Curitiba,PR
Volkswagen,Fox,Fox City 1.0 8V (Flex),18900,2005,243000,Manual,Cordeiro,RJ
Fiat,Uno Mille,Uno Mille Fire 1.0 (Flex) 4P,18987,2008,153,Manual,Belo Horizonte,MG
Volkswagen,Gol,Gol City 1.0 (G4) (Flex),19000,2007,101,Manual,Orleans,SC
Chevrolet,Celta,Celta Life 1.0 VHCE (Flex) 2p,19900,2008,300,Manual,Curitiba,PR
Ford,Ka,Ka Class 1.0 (Flex),19900,2009,121000,Manual,Serra,ES
Ford,Ka,Ka 1.0 (Flex),19990,2012,158000,Manual,Rio de Janeiro,RJ
Renault,Clio,Clio Hatch. Campus 1.0 16V (flex) 2p,19990,2010,193000,Manual,Curitiba,PR
Ford,Ka,Ka 1.0 (Flex),20900,2012,88888,Manual,Rio de Janeiro,RJ
Fiat,Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 4p,20900,2008,145000,Manual,Colombo,PR
Chevrolet,Celta,Celta LS 1.0 (Flex) 2p,21099,2011,118861,Manual,Rio de Janeiro,RJ
Chevrolet,Classic,Classic Life 1.0 VHCE (Flex),21700,2009,195865,Manual,Catanduva,SP
Peugeot,207,207 Hatch XR 1.4 8V (flex) 4p,21900,2010,140000,Manual,São Gonçalo,RJ
Renault,Sandero,Sandero Authentique 1.0 16V (flex),21900,2010,196000,Manual,São Paulo,SP
Chevrolet,Classic,Corsa Sedan Classic Spirit 1.0 (Flex),21900,2007,218519,Manual,São Gonçalo,RJ
Ford,Focus Hatch,Focus Hatch GLX 1.6 8V,21900,2007,119000,Manual,Joinville,SC
Chevrolet,Zafira,Zafira Comfort 2.0 (Flex),21900,2007,260000,Manual,São Paulo,SP
Citroën,C3,C3 XTR 1.6 16V (flex),21900,2006,185762,Manual,Araquari,SC
Chevrolet,Corsa Hatch,Corsa Hatch Maxx 1.0 (Flex),21900,2006,200000,Manual,São Paulo,SP
Fiat,Siena,Siena Fire 1.0 8V (Flex),21900,2006,127600,Manual,Cotia,SP
Fiat,Siena,Siena Fire 1.0 8V (Flex),21990,2006,128000,Manual,Mogi das Cruzes,SP
Fiat,Palio,Palio Fire 1.0 8V (Flex) 2p,21999,2012,90000,Manual,São Bernardo do Campo,SP
Volkswagen,Gol,Gol 1.0 (G4) (Flex) 2p,21999,2010,100000,Manual,Contagem,MG
Peugeot,207,207 Hatch XR 1.4 8V (flex) 2p,22199,2012,77672,Manual,Rio de Janeiro,RJ
Fiat,Siena,Siena Fire 1.0 8V (Flex),22390,2008,152000,Manual,São Paulo,SP
Renault,Logan,Logan Authentique 1.0 16V (flex),22700,2011,250094,Manual,Catanduva,SP
Chevrolet,Celta,Celta LS 1.0 (Flex) 2p,22890,2011,160,Manual,Barueri,SP
Peugeot,206,206 Hatch. Feline Automatic 1.6 16V (flex),22890,2008,139234,Automático,São Paulo,SP
Chevrolet,Celta,Celta LS 1.0 (Flex) 2p,22900,2013,94522,Manual,Criciúma,SC
Chevrolet,Celta,Celta LS 1.0 (Flex) 2p,22900,2013,121008,Manual,São Bernardo do Campo,SP
Fiat,Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 2p,22900,2013,122889,Manual,São José do Rio Preto,SP
Peugeot,207,207 Hatch XR 1.4 8V (flex) 2p,22900,2011,83514,Manual,Curitiba,PR
Peugeot,207,207 Hatch XR 1.4 8V (flex) 2p,22900,2012,98000,Manual,Manaus,AM
Chevrolet,Classic,Classic 1.0 VHC (Flex),22900,2010,117000,Manual,Apucarana,PR
Ford,Ka,Ka 1.0 (Flex),22900,2011,120000,Manual,Campo Grande,MS
Ford,Ka,Ka 1.0 (Flex),22900,2010,102229,Manual,Guarulhos,SP
Chevrolet,Classic,Classic Life 1.0 VHCE (Flex),22900,2009,149000,Manual,Curitiba,PR
Citroën,C3,C3 XTR 1.4 8V (flex),22900,2007,121000,Manual,São Paulo,SP
Fiat,Palio,Palio ELX 1.3 8V (Flex),22900,2005,206000,Manual,São Paulo,SP
Chevrolet,Corsa Sedan,Corsa Sedan 1.0 8V,22900,2004,124895,Manual,Jundiaí,SP
Fiat,Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 2p,23000,2013,86000,Manual,Inhumas,GO
Renault,Sandero,Sandero Authentique 1.0 16V (flex),23000,2010,300,Manual,Porto Ferreira,SP
Peugeot,207,207 Hatch XR 1.4 8V (flex) 4p,23000,2010,100000,Manual,Canoinhas,SC
Volkswagen,Fusca,Fusca 1300,23000,1981,33905,Manual,Santo André,SP
Ford,Ka,Ka 1.0 (Flex),23099,2012,62153,Manual,Rio de Janeiro,RJ
Citroën,C3,C3 GLX 1.4 8V (flex),23800,2008,95000,Manual,São Paulo,SP
Volkswagen,Polo,Polo Hatch. 1.6 8V (Flex),23890,2005,148245,Manual,São Paulo,SP
Fiat,Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 2p,23900,2013,95850,Manual,Quixadá,CE
Peugeot,207,207 Hatch XR 1.4 8V (flex) 2p,23900,2012,176424,Manual,Brasília,DF
Volkswagen,Gol,Gol 1.0 8V (G4)(Flex)2p,23900,2012,300,Manual,Curitiba,PR
Chevrolet,Celta,Celta LS 1.0 (Flex) 2p,23900,2012,138000,Manual,São Paulo,SP
Chevrolet,Classic,Classic LS VHC E 1.0 (Flex),23900,2012,102000,Manual,São João de Meriti,RJ
Peugeot,207 Sedan,207 Passion XR 1.4 8V (flex),23900,2012,148110,Manual,São Paulo,SP
Ford,Ka,Ka 1.0 (Flex),23900,2012,150000,Manual,Mogi das Cruzes,SP
